Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1960,3,25,1960-3-25,"Le Rouret, Alpes-Maritimes",France,Armen Carapetyan,Gustave Reese,"[Dictated by Carapetyan] Carapetyan is coming to the US in April, may be able to meet Reese in New York; he has not heard from Catherine Brooks for years.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1960,4,18,1960-4-18,"Le Rouret, Alpes-Maritimes",France,Gustave Reese,Armen Carapetyan,"Reese appreciates Gilbert Reaney's ""Early Fifteenth-Century Music"" with its wonderful text underlay.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1960,5,1,1960-5-1,"Le Rouret, Alpes-Maritimes",France,Gerhard Croll,Armen Carapetyan,"Croll has been busy at the University of Münster working on his Habilitation and the collected-works edition for Christoph Willibald Gluck; Croll thinks he can get the first volume of the CMM edition to Carapetyan in 1961, and perhaps a volume in 1963, too.",Universität Salzburg,The Gaspar van Weerbeke Archives,
1960,5,7,1960-5-7,"Le Rouret, Alpes-Maritimes",France,Armen Carapetyan,Gerhard Croll,Carapetyan agrees to Croll's timeline for projects; Carapetyan mentions that he has spent the last two winters in Southern France.,Universität Salzburg,The Gaspar van Weerbeke Archives,
1960,6,6,1960-6-6,"Le Rouret, Alpes-Maritimes",France,Edward Lowinsky,Armen Carapetyan,"Lowinsky was ready to sign a contract with Carapetyan for the Ghiselin Danckerts and Giovanni Spataro projects; mentions the review of Clemens non Papa Opera Omnia in ""Notes."" ""I am worried, I confess, when I think that your magnificent editorial work is based practically on the life of one man alone--yourself.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1960,7,18,1960-7-18,,,Armen Carapetyan,Edward Lowinsky,"Lowinsky offered Giovanni Spataro's text to Carapetyan, who agrees in principle with the idea. Lowinsky's review in ""Notes"" led to harmful speculations and gossip among collaborators and ""stirred a hornet's nest."" Carapetyan replied in MD 14; ""I have never used MD for personal venting or ventilation."" ""The 'administrative' and 'financial' aspects present no great problems.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1960,8,23,1960-8-23,Benidorm (Alicante),Spain,Armen Carapetyan,Gaston Allaire,Carapetyan is hoping to resume discussion of the Claudin de Sermisy edition; he is interested in an article offered by Gaston Allaire for MD.,Libraries and Archives Canada,"Gaston Allaire fonds (R12303-0-0-E), Folder 2 (Correspondence)",
1961,3,25,1961-3-25,,,Armen Carapetyan,Clytus Gottwald,"""Pierre de la Rue has been in the hands of [Walter] Rubsamen (in California) for many years. We have at various occasions forgone editions offered us in courtesy to Rubsamen. He wrote me a year and a half ago that he was about to start publication (by some German publisher) but it was recently reported to me that nothing has been done and no one knows just how the thing stands. A pity to hold up such an interesting edition.""",Paul Sacher Stiftung,"Sammlung Clytus Gottwald, Korrespondenz -1970 [Ordner 1a + 1b] - unbearbeitet",
1961,5,8,1961-5-8,"Villa Jaune, St. Jean-de-Grasse, Le Rouret, Alpes-Maritimes",France,Armen Carapetyan,Dragan Plamenac,"""I am launching a Corpus of Early Keyboard Music, under the general editorship of Willi Apel. We intend to cover the ground pretty thoroughly from [the] Robertsbridge [Codex] to about 1600, then most of the important material from the 17th century."" ""The Faenza Codex cannot be missed in a corpus of this kind."" ""I could write to Mme. [Geneviève Thibault de] Chambure.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1961,6,19,1961-6-19,,,Dragan Plamenac,Armen Carapetyan,Plamenac is unable to give a definite answer to Carapetyan's proposal.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1961,9,21,1961-9-21,,,Dragan Plamenac,Armen Carapetyan,Madame Geneviève Thibault de Chambure did not release Plamenac from his contract.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1961,11,9,1961-11-9,"Le Rouret, Alpes-Maritimes",France,Edward Lowinsky,Armen Carapetyan,"""I have sent you recently two of my publications to keep you in touch with my doings and to ensure you of my continued admiration and support for your great work.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1961,11,16,1961-11-16,,,Armen Carapetyan,Edward Lowinsky,Carapetyan thanks Lowinsky for the two publications; he is leaving for Florence.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1961,11,22,1961-11-22,,,Armen Carapetyan,Gustave Reese,"Hans Lenneberg has reached out to inquire about a Sebastian Virdung edition; but the edition needs to be ""rechecked ... with Dr. Reese""; Carapetyan feels put in an awkward position as he has promised it. ","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folders 192–194",
1962,1,24,1962-1-24,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi approaches Carapetyan about a possible Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,2,16,1962-2-16,,,Armen Carapetyan,Erwin R. Jacobi,"Carapetyan is interested in a Jean-Philippe Rameau edition, but is not yet ready to commit; it would have to be in English, since the market is the United States (and musicologists there are not comfortable with French); France is a ""tenth-rate power, musicologically.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,3,13,1962-3-13,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi agrees broadly with Carapetyan's terms and will send material.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,3,21,1962-3-21,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi continues his letter to include details on all of Jean-Philippe Rameau's theoretical writings.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,3,30,1962-3-30,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi suggests asking Paul Hindemith for a preface for the edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,5,11,1962-5-11,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi has received microfilms of Jean-Philippe Rameau's works; he interested in visiting Carapetyan to discuss various questions for the edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,7,4,1962-7-4,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi has not received a response from Carapetyan since February 1962.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,7,6,1962-7-6,,,Armen Carapetyan,Erwin R. Jacobi,"Carapetyan is interested in the Jean-Philippe Rameau edition, but has two problems with the project: financing and production; ""of the 30 editions in CMM in progress or completed, and others in preparation, none has gone without subsidy. So also with the editions in CSM, MSD, all the rest, with the difference that these series have required even heavier subsidy, especially CSM."" He raises questions of cost of production in Switzerland and costs of reproduction of microfilm for images in volumes.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,7,22,1962-7-22,,,Armen Carapetyan,Erwin R. Jacobi,"It is difficult to meet over summer, but possible in autumn in France; Carapetyan is interested in having an introduction from Paul Hindemith.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,7,30,1962-7-30,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi is in favor of a subscription in advance and thinks that reproduction of films in Switzerland will be better for quality, with relatively small difference in price.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,9,8,1962-9-8,,,Erwin R. Jacobi,Armen Carapetyan,Buckdruckerei Winterthur AG had interest in printing and would have the advantage of being closely monitored by Jacobi.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,9,15,1962-9-15,,,Armen Carapetyan,Erwin R. Jacobi,"The samples from the printer were not acceptable. The subscription will be limited: ""France will not absorb 10 copies of the set, I assure you."" He needs a minimum number of subscriptions to launch the edition and doubts that 2,000 copies will be purchased within a number of years.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,10,9,1962-10-9,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi suggests the first two volumes of the Jean-Philippe Rameau edition could be published in 1964 for the 200th anniversary of Rameau's death.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,10,24,1962-10-24,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi describes antiquarian interest in Jean-Philippe Rameau's ""Nouveau système de musique théorique""; he asks Carapetyan to make a final decision.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,11,1,1962-11-1,"Altea la Vieja, Alicante Finca Santa Barbara",Spain,Oliver Strunk,Armen Carapetyan,"""With this letter I pick up our correspondence, which was broken off years ago by your characteristic and entertaining letter of April 1, 1950."" ""Since your last letter was written, a good many changes have taken place. The American Institute of Musicology has flourished; the American Musicological Society has flourished; finally, as you may have heard, I myself have taken over the direction of the Monumenta Musicae Byzantinae."" Strunk suggests a joint publication series, and his successor as AMS president, Donald Grout, seems interested.",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 54, Folder 1574",
1962,11,3,1962-11-3,,,Armen Carapetyan,Erwin R. Jacobi,"""When 16 years ago I signed a contract in Rome that was to see the opera omnia of [Guillaume] Dufay out in two years I thought it an eternity. Today we are not yet done with the edition."" ""Speaking in terms of business only, the musicological 'market' is very narrow yet frightfully flooded""; he agrees to circulate the subscription list in advance, possible to issue one or two volumes by 1964 if printers cooperate; various requirements that Jacobi needs to agree to, including circulation of 1000 rather than 2000 copies; does not want production to stretch over a long period of time. If Jacobi agrees, they can proceed.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,11,5,1962-11-5,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Armen Carapetyan,Oliver Strunk,"""I have not had the fortune of meeting you personally."" Carapetyan is interested in joint publications.",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 54, Folder 1574",
1962,11,13,1962-11-13,,,Oliver Strunk,Donald J. Grout,"""To my not inconsiderable astonishment, my letter to Carapetyan evoked a prompt reply."" ""The AMS might conceivably offer to relieve Carapetyan of the expense of maintaining an office in Dallas, Texas, transferring the whole operation of storage and distribution to Philadelphia."" ""As you know, Carapetyan is inclined to be obstinate and quarrelsome, so that it will not be easy to persuade him to make any changes in his existing arrangements.""",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 54, Folder 1574",
1962,11,14,1962-11-14,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,Jacobi agrees broadly with Carapetyan's terms; he explains expenses thus far and requests compensation.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (2)",
1962,11,30,1962-11-30,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Armen Carapetyan,Oliver Strunk,"""A 10% royalty, of net income, is paid. Non-commercial organization putting out learned publications do not pay a high royalty, if at all, and usually not before all costs have been met. I know that even an important commercial house like Breitkopf and Härtel paid a wretched royalty before the war (I think 3%) in such series as the ['Publikationen älterer Musik']"" ""Some editions do not cover expenses even after a few years.""",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 54, Folder 1574",
